#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270144.6214892864,0.00123411,0.00768687,0.366127,0.0292342,-0.0582522,-0.997822,0.0101436
1407270144.6652266979,0.00128661,0.007574,0.366182,0.0289291,-0.0576441,-0.997866,0.0101441
1407270144.7101457119,0.0013993,0.00732933,0.366274,0.0283379,-0.0564183,-0.99795,0.0104851
1407270144.7535634041,0.0013483,0.00742563,0.366247,0.0285864,-0.0568645,-0.997921,0.0101446
1407270144.7838594913,0.00146606,0.0071968,0.366305,0.0279941,-0.0556391,-0.998003,0.0104857
1407270144.8261938095,0.00141252,0.00730172,0.366311,0.0282999,-0.056247,-0.997961,0.0104852
1407270144.8839504719,0.00120855,0.00764755,0.366279,0.0292569,-0.0580504,-0.997837,0.00980358
1407270144.9174098969,0.00126671,0.00752995,0.366196,0.0290094,-0.0574132,-0.997877,0.0101442
1407270144.9538960457,0.00120997,0.0076191,0.366199,0.0292396,-0.0578686,-0.997844,0.0101438
1407270144.9864983559,0.00142383,0.00726406,0.366197,0.0283191,-0.0560468,-0.997975,0.0101452
